Season,TeamID,PointScored,PointAllowed,FGM,FGA,3P,3PA,FTM,FTA,ORB,DRB,Ast,TO,Stl,WBlk,PF,WScore,LTeamID,LScore,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2003,1102.0,68.75,53.17,22.58,40.0,10.0,21.58,13.58,20.75,3.83,19.33,16.92,11.08,7.33,2.83,16.08,,,,,,,,,,,,,,,,
2003,1103.0,87.77,78.38,30.0,55.38,5.46,14.38,22.31,30.92,9.38,21.46,17.69,12.54,7.31,1.85,20.46,,,,,,,,,,,,,,,,
2003,1104.0,74.71,61.53,25.82,58.35,7.06,20.82,16.0,22.53,13.53,26.41,14.0,13.06,7.24,4.18,16.47,,,,,,,,,,,,,,,,
2003,1105.0,79.43,66.43,25.57,61.86,9.14,22.43,19.14,25.71,14.57,25.86,15.86,18.0,11.29,2.0,19.43,,,,,,,,,,,,,,,,
2003,1106.0,68.31,57.92,24.77,53.85,5.85,15.92,12.92,20.77,12.77,28.0,13.0,17.69,9.38,3.77,18.38,,,,,,,,,,,,,,,,
2003,1107.0,70.29,65.57,25.0,55.71,8.0,21.0,12.29,15.86,8.71,25.0,11.29,13.0,6.0,2.86,16.43,,,,,,,,,,,,,,,,
2003,1108.0,75.0,65.71,26.07,56.36,5.86,15.14,17.0,24.14,11.71,24.79,16.14,16.5,8.79,4.86,18.93,,,,,,,,,,,,,,,,
2003,1110.0,71.69,57.12,24.75,52.5,9.75,22.25,12.44,18.69,9.75,24.0,16.25,12.88,7.25,1.69,16.94,,,,,,,,,,,,,,,,
2003,1111.0,88.12,75.56,30.06,62.56,7.94,20.0,20.06,27.69,12.12,28.44,16.69,16.81,10.5,5.5,16.88,,,,,,,,,,,,,,,,
2003,1112.0,86.2,68.92,30.64,64.84,7.08,19.24,17.84,25.28,14.84,28.16,18.2,14.8,8.44,4.24,17.48,,,,,,,,,,,,,,,,
2003,1113.0,80.72,63.33,29.06,55.94,3.56,11.06,19.06,28.11,14.0,25.22,16.94,13.89,5.72,5.33,18.44,,,,,,,,,,,,,,,,
2003,1114.0,71.88,62.88,23.19,48.12,7.56,16.94,17.94,25.5,9.62,23.0,11.56,16.62,6.88,2.75,18.62,,,,,,,,,,,,,,,,
2003,1115.0,65.0,60.25,22.5,54.25,5.5,17.25,14.5,21.5,9.75,23.5,11.0,18.0,8.0,4.0,21.75,,,,,,,,,,,,,,,,
2003,1116.0,71.44,57.56,24.56,55.11,6.67,19.0,15.67,24.67,15.22,28.11,12.67,17.67,6.33,4.33,19.0,,,,,,,,,,,,,,,,
2003,1117.0,80.27,63.91,26.27,55.18,9.45,22.73,18.27,24.09,11.64,21.64,14.0,14.0,8.45,1.55,20.18,,,,,,,,,,,,,,,,
2003,1119.0,69.67,66.33,24.33,46.0,8.0,17.67,13.0,16.67,6.0,23.33,14.33,17.67,6.0,1.33,17.0,,,,,,,,,,,,,,,,
2003,1120.0,75.89,59.74,27.42,54.74,5.74,15.16,15.32,23.05,12.21,25.05,15.42,15.47,8.95,5.79,16.37,,,,,,,,,,,,,,,,
2003,1122.0,72.45,64.6,24.4,50.6,5.65,15.8,18.0,26.1,10.4,25.15,13.95,14.75,6.95,4.6,18.05,,,,,,,,,,,,,,,,
2003,1123.0,81.0,70.46,27.92,60.38,6.69,17.77,18.46,24.85,13.08,24.69,13.08,12.08,5.08,1.77,21.92,,,,,,,,,,,,,,,,
