,TeamID,Season,PointScored,PointAllow,FG,oppFG,FGA,oppFGA,3P,opp3P,FT,oppFT,FTA,oppFTA,TO,oppTO,ORB,oppOR,DRB,oppDR,Ast,Stl,Blk,PF,oppORB,OR,oppDRB,DR,Wins,Seed
0,1328,2003,71.17,60.17,25.27,21.6,56.53,53.37,7.47,4.43,13.17,12.53,18.6,18.63,11.8,13.7,11.83,9.96,25.58,21.67,14.17,6.93,3.77,18.6,12.17,13.33,25.33,22.5,3,01
1,1448,2003,78.41,67.62,26.14,23.66,57.24,59.76,6.1,7.48,20.03,12.83,26.62,18.66,15.1,13.62,14.5,12.58,28.12,18.58,14.59,6.41,4.38,18.48,11.8,16.0,23.0,21.2,1,02
2,1393,2003,80.1,69.9,29.24,25.21,62.21,64.62,5.24,6.93,16.38,12.55,23.62,18.9,13.62,14.45,13.33,15.62,27.71,21.5,14.97,8.31,7.28,16.59,16.6,19.0,26.0,23.0,6,03
3,1257,2003,81.83,68.47,27.97,22.53,60.83,55.97,8.43,5.1,17.47,18.3,25.1,26.37,13.37,17.4,13.08,12.33,25.58,22.92,16.6,7.2,4.73,22.67,15.0,13.67,26.33,23.17,1,04
4,1280,2003,70.17,60.17,26.33,21.73,55.8,54.17,5.57,6.23,11.93,10.47,17.63,15.6,15.63,16.1,12.67,10.86,26.38,19.19,14.5,8.73,3.73,15.9,11.0,12.67,22.33,20.44,0,05
5,1329,2003,68.72,62.21,24.66,21.76,55.41,55.83,4.86,5.1,14.55,13.59,22.34,20.69,14.66,16.76,12.6,14.55,24.5,20.85,12.24,8.79,5.59,20.14,13.11,11.89,25.89,23.11,1,06
6,1386,2003,70.62,59.28,24.24,20.14,54.41,54.55,8.03,5.48,14.1,13.52,20.66,20.69,12.93,15.24,11.09,12.87,24.26,21.17,14.0,7.21,5.55,18.76,15.83,11.5,24.83,23.67,0,07
7,1143,2003,74.48,69.76,27.34,25.38,58.72,58.79,6.41,7.1,13.38,11.9,19.52,17.45,14.17,14.93,10.48,10.48,25.9,21.86,16.0,6.55,2.79,17.1,13.0,13.25,26.0,20.38,1,08
8,1301,2003,72.4,68.0,24.33,23.43,53.33,53.13,7.97,5.73,15.77,15.4,20.47,21.2,14.2,14.63,9.22,10.17,23.5,19.89,14.67,7.77,3.07,18.67,11.08,10.5,23.75,19.83,0,09
9,1120,2003,70.1,65.57,25.7,23.8,54.7,56.63,5.63,6.9,13.07,11.07,19.73,16.53,15.9,15.8,12.21,13.11,25.05,19.21,13.4,8.03,4.97,16.37,10.73,11.45,23.0,18.27,2,10
10,1335,2003,70.19,59.41,24.0,20.7,51.52,51.48,9.0,6.33,13.19,11.67,18.78,17.19,13.0,14.41,9.18,8.91,24.95,20.32,14.85,7.19,2.15,17.78,11.4,10.0,26.4,20.8,0,11
