,TeamID,Season,PointScored,PointAllow,FG,oppFG,FGA,oppFGA,3P,opp3P,FT,oppFT,FTA,oppFTA,TO,oppTO,ORB,oppORB,DRB,oppDRB,Wins,Seed
0,1328,2003,71.17,60.17,25.27,21.6,56.53,53.37,7.47,4.43,13.17,12.53,18.6,18.63,11.8,13.7,12.13,10.4,24.97,22.4,3,01
1,1448,2003,78.41,67.62,26.14,23.66,57.24,59.76,6.1,7.48,20.03,12.83,26.62,18.66,15.1,13.62,14.76,12.45,26.93,19.34,1,02
2,1393,2003,80.1,69.9,29.24,25.21,62.21,64.62,5.24,6.93,16.38,12.55,23.62,18.9,13.62,14.45,14.31,15.79,26.9,22.28,6,03
3,1257,2003,81.83,68.47,27.97,22.53,60.83,55.97,8.43,5.1,17.47,18.3,25.1,26.37,13.37,17.4,13.2,12.87,25.1,23.6,1,04
4,1280,2003,70.17,60.17,26.33,21.73,55.8,54.17,5.57,6.23,11.93,10.47,17.63,15.6,15.63,16.1,12.67,10.9,24.6,20.13,0,05
5,1329,2003,68.72,62.21,24.66,21.76,55.41,55.83,4.86,5.1,14.55,13.59,22.34,20.69,14.66,16.76,12.38,14.1,24.07,22.41,1,06
6,1386,2003,70.62,59.28,24.24,20.14,54.41,54.55,8.03,5.48,14.1,13.52,20.66,20.69,12.93,15.24,11.17,13.48,24.14,21.93,0,07
7,1143,2003,74.48,69.76,27.34,25.38,58.72,58.79,6.41,7.1,13.38,11.9,19.52,17.45,14.17,14.93,11.24,11.17,24.38,23.0,1,08
8,1301,2003,72.4,68.0,24.33,23.43,53.33,53.13,7.97,5.73,15.77,15.4,20.47,21.2,14.2,14.63,9.73,10.53,22.03,21.43,0,09
9,1120,2003,70.1,65.57,25.7,23.8,54.7,56.63,5.63,6.9,13.07,11.07,19.73,16.53,15.9,15.8,11.93,12.23,22.57,20.6,2,10
10,1335,2003,70.19,59.41,24.0,20.7,51.52,51.48,9.0,6.33,13.19,11.67,18.78,17.19,13.0,14.41,9.33,9.37,24.19,21.44,0,11
11,1139,2003,68.59,60.93,24.07,23.03,50.66,51.62,8.48,4.9,11.97,9.97,16.55,15.0,10.41,12.0,7.83,10.45,20.38,20.21,2,12
12,1122,2003,69.7,67.7,23.56,24.3,52.07,56.78,6.0,6.3,16.59,12.81,24.0,18.67,15.22,14.0,10.63,11.67,24.22,22.52,0,13
13,1264,2003,76.17,67.76,25.93,23.07,57.55,55.41,5.52,4.34,18.79,17.28,23.9,23.86,14.21,17.72,11.31,12.62,23.31,23.03,0,14
14,1190,2003,79.7,77.48,28.07,27.56,61.41,62.48,5.22,7.11,18.33,15.26,24.81,20.96,18.74,18.89,14.0,13.85,24.04,22.52,0,15
15,1354,2003,72.8,71.27,24.8,24.0,54.37,57.93,5.17,7.17,18.03,16.1,25.8,24.5,19.47,17.4,12.97,14.23,24.27,21.2,0,16
16,1400,2003,78.86,68.68,28.0,24.36,62.43,59.21,5.86,6.11,17.0,13.86,23.79,21.04,13.43,14.18,16.18,12.93,26.14,22.0,4,01
17,1196,2003,75.9,64.68,26.94,24.23,56.52,57.26,8.68,5.81,13.35,10.42,18.94,16.0,13.39,15.06,10.81,11.97,24.26,21.74,1,02
18,1462,2003,78.23,65.97,26.8,25.2,59.2,61.63,6.43,6.23,18.2,9.33,24.37,14.07,13.03,14.0,13.93,12.27,25.5,21.33,1,03
19,1390,2003,72.26,66.97,25.65,23.58,58.03,57.84,6.94,5.74,14.03,14.06,20.77,19.97,14.32,13.06,13.74,11.39,25.13,21.58,1,04
20,1163,2003,80.03,71.4,29.53,24.87,62.2,65.37,6.07,6.43,14.9,15.23,22.1,21.0,15.8,13.37,14.77,15.33,27.9,21.5,2,05
21,1268,2003,80.79,66.86,29.43,22.93,63.36,60.57,6.75,6.5,15.18,14.5,21.57,20.89,14.11,18.32,13.75,14.32,26.75,23.61,2,06
22,1277,2003,67.23,60.97,23.03,20.16,51.1,50.32,4.9,5.77,16.26,14.87,22.13,20.74,14.55,14.29,10.68,9.32,24.26,20.23,3,07
23,1261,2003,73.23,62.9,26.81,22.87,55.06,56.13,6.74,6.29,12.87,10.87,19.87,16.29,13.87,15.55,10.61,11.32,24.52,21.42,0,08
24,1345,2003,71.75,65.25,23.75,22.61,54.39,54.5,5.11,5.36,19.14,14.68,25.5,20.29,13.82,16.39,10.39,10.64,23.46,23.46,1,09
25,1160,2003,75.52,70.06,27.19,25.39,61.32,63.35,4.97,6.74,16.16,12.55,23.94,18.48,14.0,12.55,14.48,13.52,27.97,23.19,0,10
26,1423,2003,71.37,59.6,26.03,20.93,56.4,52.23,6.77,5.67,12.53,12.07,18.2,18.23,11.47,16.93,9.97,11.5,23.13,23.53,0,11
27,1140,2003,72.45,63.68,24.03,20.97,51.26,51.26,6.19,5.0,18.19,16.74,24.16,23.48,13.74,14.48,10.87,10.42,24.42,20.19,0,12
28,1360,2003,74.68,71.57,25.21,26.07,53.54,60.21,6.93,6.71,17.32,12.71,26.32,18.64,18.18,15.18,11.54,11.29,26.36,21.89,0,13
29,1407,2003,79.37,70.57,28.23,25.03,65.33,60.27,9.47,8.1,13.43,12.4,19.53,18.1,13.73,17.73,15.07,13.43,24.7,24.87,0,14
30,1358,2003,71.78,65.26,24.3,22.48,53.37,57.96,6.48,5.44,16.7,14.85,23.52,21.67,15.7,14.89,10.78,13.33,25.96,22.04,0,15
31,1411,2003,72.8,70.83,24.73,25.67,55.27,60.4,5.93,7.53,17.4,11.97,28.07,18.73,15.23,14.33,13.17,11.93,24.8,22.87,0,16
32,1421,2003,71.21,78.45,24.38,27.79,56.79,60.97,6.48,7.62,15.97,15.24,20.93,22.55,16.21,12.83,12.28,13.72,23.17,22.83,1,16
