,TeamID,Season,PointScored,PointAllowed,FGM,FGA,3P,3PA,FTM,FTA,ORB,DRB,Ast,TO,Stl,WBlk,PF,WScore,LTeamID,LScore,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF,Wins,Seed
0,1328.0,2003,74.92,59.38,26.62,56.96,8.0,19.38,13.67,19.12,11.83,25.58,15.38,11.62,7.21,3.83,18.42,,,,,,,,,,,,,,,,,3,01
1,1448.0,2003,80.54,64.88,26.88,56.54,6.29,17.58,20.5,27.29,14.5,28.12,15.38,15.54,6.38,4.29,17.46,,,,,,,,,,,,,,,,,1,02
2,1393.0,2003,83.62,69.21,30.54,61.88,5.75,15.83,16.79,23.75,13.33,27.71,16.38,13.33,8.62,7.21,16.67,,,,,,,,,,,,,,,,,6,03
3,1257.0,2003,83.79,65.46,28.96,61.21,8.75,23.62,17.12,24.08,13.08,25.58,16.96,13.12,7.58,4.54,21.25,,,,,,,,,,,,,,,,,1,04
4,1280.0,2003,73.67,56.48,27.62,55.76,5.33,14.76,13.1,19.43,12.67,26.38,15.38,15.81,9.29,4.1,15.14,,,,,,,,,,,,,,,,,0,05
5,1329.0,2003,73.4,59.6,26.3,55.25,5.35,13.5,15.45,24.15,12.6,24.5,13.4,14.65,9.65,5.75,20.4,,,,,,,,,,,,,,,,,1,06
6,1386.0,2003,72.35,56.3,24.52,53.87,8.57,22.43,14.74,21.04,11.09,24.26,14.91,13.04,7.48,5.57,18.04,,,,,,,,,,,,,,,,,0,07
7,1143.0,2003,76.1,65.71,27.57,56.86,6.05,15.76,14.9,21.29,10.48,25.9,16.67,14.43,6.86,2.86,16.24,,,,,,,,,,,,,,,,,1,08
8,1301.0,2003,77.89,62.83,25.67,52.39,8.94,22.5,17.61,22.72,9.22,23.5,16.67,13.83,8.5,3.56,16.94,,,,,,,,,,,,,,,,,0,09
9,1120.0,2003,75.89,59.74,27.42,54.74,5.74,15.16,15.32,23.05,12.21,25.05,15.42,15.47,8.95,5.79,16.37,,,,,,,,,,,,,,,,,2,10
10,1335.0,2003,72.64,56.95,24.91,51.09,9.55,21.86,13.27,18.91,9.18,24.95,15.91,12.55,7.18,2.18,17.36,,,,,,,,,,,,,,,,,0,11
11,1139.0,2003,69.62,58.12,24.29,50.08,8.46,21.5,12.58,17.08,7.62,20.75,13.58,9.54,6.12,1.83,14.83,,,,,,,,,,,,,,,,,2,12
12,1122.0,2003,72.45,64.6,24.4,50.6,5.65,15.8,18.0,26.1,10.4,25.15,13.95,14.75,6.95,4.6,18.05,,,,,,,,,,,,,,,,,0,13
13,1264.0,2003,77.96,65.65,26.09,56.52,5.61,15.04,20.17,25.3,11.35,24.26,14.13,13.91,9.22,4.13,21.43,,,,,,,,,,,,,,,,,0,14
14,1190.0,2003,82.88,73.35,28.41,59.41,5.18,13.29,20.88,28.24,14.06,25.82,14.88,18.76,10.35,6.29,19.12,,,,,,,,,,,,,,,,,0,15
15,1354.0,2003,76.95,67.4,26.35,53.6,5.4,15.2,18.85,26.05,12.1,25.65,11.25,18.6,8.05,3.35,19.6,,,,,,,,,,,,,,,,,0,16
16,1400.0,2003,78.23,63.41,27.95,61.18,5.5,16.27,16.82,23.68,16.23,26.64,14.59,13.68,6.95,3.82,18.91,,,,,,,,,,,,,,,,,4,01
17,1196.0,2003,79.12,63.17,27.92,57.46,9.17,22.71,14.12,19.92,11.17,24.83,17.46,13.04,8.42,4.33,16.88,,,,,,,,,,,,,,,,,1,02
18,1462.0,2003,82.0,66.0,28.0,59.72,6.4,17.16,19.6,25.72,14.0,25.72,17.36,12.32,5.68,3.48,15.4,,,,,,,,,,,,,,,,,1,03
19,1390.0,2003,74.43,64.09,26.52,57.65,7.39,18.87,14.0,20.61,12.78,25.78,15.52,14.09,5.96,3.52,17.83,,,,,,,,,,,,,,,,,1,04
20,1163.0,2003,85.19,68.29,31.19,63.52,6.71,15.38,16.1,23.43,15.24,29.52,17.14,15.14,6.38,8.43,17.76,,,,,,,,,,,,,,,,,2,05
21,1268.0,2003,84.37,60.42,30.16,61.05,7.21,16.42,16.84,23.68,13.47,27.58,20.26,14.0,12.05,6.89,17.63,,,,,,,,,,,,,,,,,2,06
22,1277.0,2003,70.68,55.89,24.26,50.0,4.42,11.47,17.74,23.53,10.11,24.68,14.11,14.05,7.32,4.21,18.95,,,,,,,,,,,,,,,,,3,07
23,1261.0,2003,78.71,58.57,28.57,54.29,7.29,16.9,14.29,21.43,10.76,25.95,18.57,13.71,8.29,4.38,15.29,,,,,,,,,,,,,,,,,0,08
24,1345.0,2003,79.06,62.28,26.17,55.22,5.89,16.0,20.83,27.22,10.22,25.44,14.28,13.33,7.61,3.67,19.56,,,,,,,,,,,,,,,,,1,09
25,1160.0,2003,81.35,67.35,28.9,59.6,5.55,15.15,18.0,25.6,14.05,28.9,15.45,14.25,6.3,7.3,17.3,,,,,,,,,,,,,,,,,0,10
26,1423.0,2003,73.92,56.96,26.67,56.54,6.96,17.96,13.62,19.75,10.46,24.12,15.08,10.75,9.38,1.96,17.42,,,,,,,,,,,,,,,,,0,11
27,1140.0,2003,74.04,59.39,24.65,50.3,6.48,15.57,18.26,24.04,10.22,25.0,14.26,12.83,7.17,2.48,20.43,,,,,,,,,,,,,,,,,0,12
28,1360.0,2003,78.94,67.29,26.71,53.47,6.94,16.47,18.59,27.18,11.24,27.53,17.29,17.35,5.06,3.29,18.76,,,,,,,,,,,,,,,,,0,13
29,1407.0,2003,81.52,67.96,28.76,64.52,9.68,27.92,14.32,20.36,14.88,25.6,15.72,14.12,10.0,5.6,15.88,,,,,,,,,,,,,,,,,0,14
30,1358.0,2003,72.52,61.62,24.29,52.0,5.9,16.29,18.05,25.14,10.81,26.33,16.71,14.67,8.29,5.71,18.67,,,,,,,,,,,,,,,,,0,15
31,1411.0,2003,77.33,68.28,25.61,53.89,6.0,17.5,20.11,31.56,12.0,27.56,15.17,16.33,5.89,2.06,18.67,,,,,,,,,,,,,,,,,0,16
32,1421.0,2003,79.54,73.15,27.23,57.85,6.92,17.23,18.15,23.62,12.31,26.38,16.31,14.92,8.62,3.54,18.0,,,,,,,,,,,,,,,,,1,16
33,1246.0,2003,78.97,62.9,28.86,58.07,6.17,16.45,15.07,21.28,12.86,24.48,16.45,14.21,8.07,5.28,17.38,,,,,,,,,,,,,,,,,3,01
34,1338.0,2003,76.19,56.92,27.5,53.38,6.58,17.12,14.62,22.96,11.42,25.69,18.42,15.15,8.08,4.19,17.58,,,,,,,,,,,,,,,,,2,02
35,1266.0,2003,79.26,64.43,27.39,54.91,5.61,14.65,18.87,24.96,13.09,24.3,16.65,13.09,6.48,3.7,17.87,,,,,,,,,,,,,,,,,4,03
36,1173.0,2003,73.75,64.12,24.21,53.08,7.75,21.0,17.58,24.21,13.5,23.83,15.62,13.42,5.33,3.0,16.92,,,,,,,,,,,,,,,,,0,04
37,1458.0,2003,73.73,55.45,26.0,53.55,6.36,16.82,15.36,19.95,10.55,23.32,13.73,10.23,7.36,3.27,14.09,,,,,,,,,,,,,,,,,2,05
38,1281.0,2003,75.71,62.43,27.43,59.33,7.86,20.71,13.0,19.29,13.52,27.24,15.29,12.95,6.19,4.67,16.14,,,,,,,,,,,,,,,,,1,06
39,1231.0,2003,75.45,62.9,24.75,56.5,8.15,21.95,17.8,24.75,11.85,28.15,15.2,10.8,5.0,6.15,16.9,,,,,,,,,,,,,,,,,1,07
40,1332.0,2003,87.13,69.83,30.39,62.43,9.43,22.3,16.91,21.87,11.57,25.7,18.52,14.35,8.39,2.91,20.48,,,,,,,,,,,,,,,,,0,08
41,1428.0,2003,68.96,57.52,23.61,49.78,7.17,17.7,14.57,20.26,9.91,23.87,13.22,12.43,4.48,4.09,18.78,,,,,,,,,,,,,,,,,1,09
42,1104.0,2003,74.71,61.53,25.82,58.35,7.06,20.82,16.0,22.53,13.53,26.41,14.0,13.06,7.24,4.18,16.47,,,,,,,,,,,,,,,,,0,10
43,1356.0,2003,76.38,65.71,27.83,56.83,6.0,14.62,14.71,20.17,10.04,22.71,13.58,11.67,8.38,2.92,18.33,,,,,,,,,,,,,,,,,0,11
44,1451.0,2003,75.8,66.36,24.92,52.84,6.2,18.2,19.76,26.92,10.12,23.08,14.44,12.08,6.92,0.64,19.0,,,,,,,,,,,,,,,,,0,12
45,1409.0,2003,74.86,60.73,26.45,56.32,6.82,17.55,15.14,20.59,10.82,27.27,15.55,13.14,7.82,5.36,16.32,,,,,,,,,,,,,,,,,1,13
46,1221.0,2003,71.04,55.96,24.84,52.4,5.36,14.12,16.0,22.64,12.2,24.88,15.92,13.64,7.88,4.52,18.16,,,,,,,,,,,,,,,,,0,14
47,1447.0,2003,76.86,65.43,27.29,54.62,7.14,16.57,15.14,20.19,10.81,23.52,16.33,14.48,8.19,2.95,16.43,,,,,,,,,,,,,,,,,0,15
48,1237.0,2003,75.47,64.53,25.89,52.84,7.11,19.26,16.58,22.84,10.79,21.53,15.63,14.58,9.0,1.95,17.74,,,,,,,,,,,,,,,,,0,16
49,1112.0,2003,86.2,68.92,30.64,64.84,7.08,19.24,17.84,25.28,14.84,28.16,18.2,14.8,8.44,4.24,17.48,,,,,,,,,,,,,,,,,3,01
50,1242.0,2003,85.52,63.52,32.13,62.17,4.96,13.74,16.3,24.35,13.87,27.48,18.09,14.52,11.13,5.26,15.83,,,,,,,,,,,,,,,,,5,02
51,1181.0,2003,84.0,67.58,27.88,59.58,7.29,19.29,20.96,29.08,13.38,24.12,14.46,14.04,8.96,5.71,20.0,,,,,,,,,,,,,,,,,2,03
52,1228.0,2003,78.21,59.38,28.21,55.92,7.62,19.83,14.17,19.54,10.12,25.38,19.29,13.12,7.46,2.92,18.08,,,,,,,,,,,,,,,,,1,04
53,1323.0,2003,81.77,65.91,27.77,59.55,8.27,20.95,17.95,23.18,10.68,29.0,17.55,13.09,8.14,6.36,15.68,,,,,,,,,,,,,,,,,2,05
54,1166.0,2003,80.69,62.9,29.21,57.45,8.07,20.48,14.21,20.66,10.72,23.76,17.59,13.28,8.72,4.72,17.07,,,,,,,,,,,,,,,,,0,06
55,1272.0,2003,74.83,62.13,26.65,59.43,7.22,19.96,14.3,21.91,13.78,26.65,17.61,14.09,7.57,5.04,17.83,,,,,,,,,,,,,,,,,0,07
56,1153.0,2003,72.53,58.35,24.53,56.76,6.82,19.35,16.65,24.24,12.18,25.06,13.65,10.76,5.82,4.35,17.59,,,,,,,,,,,,,,,,,0,08
57,1211.0,2003,78.48,64.3,26.65,55.35,7.22,18.7,17.96,25.13,12.3,26.22,16.13,14.78,7.22,3.35,18.17,,,,,,,,,,,,,,,,,1,09
58,1113.0,2003,80.72,63.33,29.06,55.94,3.56,11.06,19.06,28.11,14.0,25.22,16.94,13.89,5.72,5.33,18.44,,,,,,,,,,,,,,,,,1,10
59,1141.0,2003,83.35,72.17,27.96,52.65,7.22,17.65,20.22,25.96,10.22,23.96,16.74,18.13,7.35,4.22,20.0,,,,,,,,,,,,,,,,,1,11
60,1454.0,2003,78.22,65.83,27.43,56.0,7.78,21.3,15.57,23.0,11.57,23.52,17.65,15.48,9.13,3.39,19.91,,,,,,,,,,,,,,,,,0,12
61,1443.0,2003,74.83,61.22,25.65,54.35,7.0,18.91,16.52,24.48,12.35,24.3,14.0,14.7,7.48,3.65,18.57,,,,,,,,,,,,,,,,,0,13
62,1161.0,2003,79.35,67.94,27.35,52.29,4.0,10.35,20.65,28.82,11.18,25.82,17.35,15.35,5.88,4.59,19.18,,,,,,,,,,,,,,,,,0,14
63,1429.0,2003,68.86,58.55,24.64,52.14,4.55,12.45,15.05,20.91,12.45,22.95,15.14,11.23,4.77,2.23,15.32,,,,,,,,,,,,,,,,,0,15
64,1436.0,2003,71.79,59.74,26.16,55.21,5.32,14.42,14.16,20.79,13.11,27.11,15.68,13.47,7.05,3.11,15.26,,,,,,,,,,,,,,,,,0,16
65,1181.0,2004,80.41,61.56,27.56,57.07,7.22,19.11,18.07,24.44,12.89,23.3,14.89,13.89,9.52,6.96,17.93,,,,,,,,,,,,,,,,,4,01
66,1280.0,2004,78.0,65.52,27.84,58.8,6.36,17.72,15.96,24.28,14.8,26.44,13.96,15.2,9.32,4.56,16.04,,,,,,,,,,,,,,,,,1,02
67,1400.0,2004,80.96,63.61,28.48,62.26,7.13,18.65,16.87,24.17,16.65,26.3,13.7,12.04,7.48,4.09,18.74,,,,,,,,,,,,,,,,,2,03
68,1153.0,2004,77.92,58.25,27.46,59.38,7.46,18.96,15.54,23.25,13.29,24.08,16.75,11.5,8.17,4.54,18.46,,,,,,,,,,,,,,,,,1,04
69,1228.0,2004,75.88,60.5,27.54,56.92,7.42,20.12,13.38,18.46,11.29,23.71,17.62,12.33,7.21,4.12,18.75,,,,,,,,,,,,,,,,,2,05
70,1314.0,2004,85.67,70.78,29.83,62.06,6.28,17.0,19.72,28.44,15.0,25.61,19.17,15.44,9.89,4.17,17.61,,,,,,,,,,,,,,,,,1,06
71,1462.0,2004,73.17,57.35,25.48,55.04,7.78,19.61,14.43,21.13,11.39,25.61,14.52,11.74,7.17,2.3,15.43,,,,,,,,,,,,,,,,,3,07
72,1371.0,2004,76.05,60.95,27.32,56.42,6.68,16.84,14.74,20.16,11.47,26.63,14.32,13.16,6.95,3.63,17.11,,,,,,,,,,,,,,,,,1,08
73,1112.0,2004,90.15,74.15,32.4,65.05,8.0,19.4,17.35,22.15,13.85,27.55,20.75,14.7,7.05,4.7,14.25,,,,,,,,,,,,,,,,,0,09
74,1257.0,2004,77.5,56.9,26.3,60.3,8.2,23.75,16.7,22.5,13.0,27.45,16.7,13.7,9.05,5.85,19.65,,,,,,,,,,,,,,,,,0,10
75,1102.0,2004,63.82,48.68,21.18,41.5,8.73,21.59,12.73,17.59,5.91,16.0,13.82,10.23,7.95,2.55,16.05,,,,,,,,,,,,,,,,,0,11
76,1293.0,2004,84.96,68.68,31.04,60.0,6.72,19.16,16.16,22.28,12.48,26.84,20.16,13.8,8.0,4.36,17.64,,,,,,,,,,,,,,,,,0,12
77,1190.0,2004,78.54,67.75,28.21,60.33,5.96,16.67,16.17,23.54,12.62,26.17,15.42,16.0,10.67,5.79,16.08,,,,,,,,,,,,,,,,,0,13
78,1343.0,2004,66.63,56.37,23.16,46.42,6.16,16.63,14.16,19.16,8.47,23.53,13.58,13.16,6.53,3.42,18.63,,,,,,,,,,,,,,,,,0,14
79,1284.0,2004,72.14,62.62,24.05,53.71,7.57,19.62,16.48,22.14,9.0,25.76,16.05,13.57,8.33,2.76,16.52,,,,,,,,,,,,,,,,,0,15
