,Season,Wins,Seed,TeamID
0,2003,3,01,1328
1,2003,1,02,1448
2,2003,6,03,1393
3,2003,1,04,1257
4,2003,0,05,1280
5,2003,1,06,1329
6,2003,0,07,1386
7,2003,1,08,1143
8,2003,0,09,1301
9,2003,2,10,1120
10,2003,0,11,1335
11,2003,2,12,1139
12,2003,0,13,1122
13,2003,0,14,1264
14,2003,0,15,1190
15,2003,0,16,1354
16,2003,4,01,1400
17,2003,1,02,1196
18,2003,1,03,1462
19,2003,1,04,1390
20,2003,2,05,1163
21,2003,2,06,1268
22,2003,3,07,1277
23,2003,0,08,1261
24,2003,1,09,1345
25,2003,0,10,1160
26,2003,0,11,1423
27,2003,0,12,1140
28,2003,0,13,1360
29,2003,0,14,1407
30,2003,0,15,1358
31,2003,0,16,1411
32,2003,1,16,1421
33,2003,3,01,1246
34,2003,2,02,1338
35,2003,4,03,1266
36,2003,0,04,1173
37,2003,2,05,1458
38,2003,1,06,1281
39,2003,1,07,1231
40,2003,0,08,1332
41,2003,1,09,1428
42,2003,0,10,1104
43,2003,0,11,1356
44,2003,0,12,1451
45,2003,1,13,1409
46,2003,0,14,1221
47,2003,0,15,1447
48,2003,0,16,1237
49,2003,3,01,1112
50,2003,5,02,1242
51,2003,2,03,1181
52,2003,1,04,1228
53,2003,2,05,1323
54,2003,0,06,1166
55,2003,0,07,1272
56,2003,0,08,1153
57,2003,1,09,1211
58,2003,1,10,1113
59,2003,1,11,1141
60,2003,0,12,1454
61,2003,0,13,1443
62,2003,0,14,1161
63,2003,0,15,1429
64,2003,0,16,1436
65,2004,4,01,1181
66,2004,1,02,1280
67,2004,2,03,1400
68,2004,1,04,1153
69,2004,2,05,1228
70,2004,1,06,1314
71,2004,3,07,1462
72,2004,1,08,1371
73,2004,0,09,1112
74,2004,0,10,1257
75,2004,0,11,1102
76,2004,0,12,1293
77,2004,0,13,1190
78,2004,0,14,1343
79,2004,0,15,1284
80,2004,0,16,1106
81,2004,1,01,1390
82,2004,6,02,1163
83,2004,1,03,1301
84,2004,1,04,1268
85,2004,2,05,1393
86,2004,2,06,1435
87,2004,1,07,1177
88,2004,3,08,1104
89,2004,0,09,1356
90,2004,0,10,1173
91,2004,0,11,1444
92,2004,0,12,1140
93,2004,0,13,1431
94,2004,0,14,1418
95,2004,0,15,1436
96,2004,0,16,1427
97,2004,3,01,1386
98,2004,4,02,1329
99,2004,2,03,1338
100,2004,2,04,1448
101,2004,0,05,1196
102,2004,1,06,1458
103,2004,1,07,1272
104,2004,1,08,1403
105,2004,0,09,1150
106,2004,0,10,1376
107,2004,0,11,1350
108,2004,1,12,1264
109,2004,0,13,1433
110,2004,0,14,1416
