Season,TeamID,PointScored,PointAllow,FGM,FGA,FGM3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF
2003,1102,57.25,57.0,19.14,39.79,7.82,11.14,17.11,4.18,16.82,13.0,11.43,5.96,1.79,18.75
2003,1103,78.78,78.15,27.15,55.85,5.44,19.04,25.85,9.78,19.93,15.22,12.63,7.26,2.33,19.85
2003,1104,69.29,65.0,24.04,57.18,6.36,14.86,20.93,13.57,23.93,12.11,13.29,6.61,3.79,18.04
2003,1105,71.77,76.65,24.38,61.62,7.58,15.42,21.85,13.5,23.12,14.54,18.65,9.31,2.08,20.23
2003,1106,63.61,63.75,23.43,55.29,6.11,10.64,16.46,12.29,23.86,11.68,17.04,8.36,3.14,18.18
2003,1107,65.93,75.71,24.04,57.46,7.93,9.93,13.54,8.25,20.25,11.93,12.57,6.86,2.04,15.89
2003,1108,69.09,73.12,24.94,58.73,5.21,14.0,20.94,13.12,23.21,13.85,18.45,8.18,3.52,19.67
2003,1110,66.37,61.9,23.17,53.53,8.77,11.27,16.53,10.0,23.13,14.23,13.17,6.4,1.73,18.13
2003,1111,83.27,81.73,28.62,64.5,7.19,18.85,26.19,13.0,25.31,15.23,16.19,9.85,4.62,18.69
2003,1112,85.21,70.25,30.32,65.71,7.04,17.54,25.0,15.18,27.64,17.64,14.79,8.46,4.21,17.75
2003,1113,75.97,69.17,27.21,56.9,4.0,17.55,26.21,13.69,23.31,15.55,14.0,5.21,4.24,19.41
2003,1114,70.04,70.07,23.86,53.21,6.79,15.54,22.43,10.54,22.86,11.5,15.96,6.61,2.36,20.5
2003,1115,54.5,74.18,19.25,54.29,4.75,11.25,17.61,9.96,21.04,10.18,19.11,7.96,2.75,20.25
2003,1116,61.64,66.54,21.82,55.57,6.07,11.93,19.57,14.54,23.43,9.82,16.68,6.46,3.54,20.93
2003,1117,71.12,69.81,23.69,54.69,7.92,15.81,21.42,10.96,20.38,11.92,13.27,7.15,1.65,21.42
2003,1119,53.68,67.48,19.6,47.6,5.88,8.6,12.72,7.92,21.56,11.72,17.36,5.56,1.6,19.32
2003,1120,70.1,65.57,25.7,54.7,5.63,13.07,19.73,11.93,22.57,13.4,15.9,8.03,4.97,16.37
2003,1122,69.7,67.7,23.56,52.07,6.0,16.59,24.0,10.63,24.22,13.41,15.22,7.04,4.67,18.67
2003,1123,73.3,76.03,25.93,60.47,5.37,16.07,22.13,13.17,21.73,10.5,12.83,5.2,2.2,22.87
2003,1124,69.0,68.39,23.61,58.0,9.07,12.71,17.54,11.71,23.18,14.21,13.29,8.32,2.96,15.75
2003,1125,72.46,70.71,25.5,54.75,8.18,13.29,18.93,10.54,23.64,16.89,16.93,9.07,1.71,18.36
2003,1126,64.7,72.9,23.1,55.9,5.7,12.8,18.47,12.3,20.43,10.97,15.87,8.27,1.8,19.43
2003,1127,66.56,66.19,24.04,57.19,7.67,10.81,16.0,11.7,24.22,12.7,15.07,6.44,6.48,18.26
2003,1128,67.85,64.69,22.04,49.77,7.69,16.08,22.23,10.65,21.46,13.38,15.65,7.88,3.96,18.08
2003,1129,65.89,66.93,23.07,56.18,5.18,14.57,20.89,11.18,21.93,11.64,14.39,6.64,3.82,19.5
2003,1130,79.66,76.34,27.97,59.66,6.0,17.72,25.66,13.79,22.07,17.0,13.34,7.0,2.9,18.97
2003,1131,68.1,63.27,23.63,54.9,6.57,14.27,19.2,11.0,24.4,13.57,13.37,5.7,3.47,20.17
2003,1132,66.48,70.63,21.22,48.37,6.26,17.78,24.11,8.67,22.11,12.74,16.67,7.15,2.52,22.19
2003,1133,72.31,72.38,24.72,56.66,6.38,16.48,23.41,11.0,23.24,12.55,14.17,7.45,1.69,20.34
2003,1135,73.96,72.07,24.39,52.86,6.57,18.61,25.0,9.54,23.36,14.57,15.68,7.64,3.68,17.61
2003,1137,57.68,59.32,19.0,47.0,5.82,13.86,21.75,9.71,22.04,11.68,15.82,5.79,2.14,17.79
2003,1138,64.82,72.21,23.29,57.93,5.39,12.86,19.14,13.57,22.64,12.64,14.5,6.43,2.07,22.71
2003,1139,68.59,60.93,24.07,50.66,8.48,11.97,16.55,7.83,20.38,12.97,10.41,6.34,1.86,16.07
2003,1140,72.45,63.68,24.03,51.26,6.19,18.19,24.16,10.87,24.42,13.42,13.74,6.94,2.52,21.42
2003,1141,79.34,73.24,26.62,52.69,6.83,19.28,25.17,10.59,23.28,15.62,18.24,7.1,4.0,20.97
2003,1142,67.52,68.38,23.59,55.55,6.41,13.93,19.45,11.52,23.38,12.45,15.83,6.97,3.83,19.45
2003,1143,74.48,69.76,27.34,58.72,6.41,13.38,19.52,11.24,24.38,16.0,14.17,6.55,2.79,17.1
2003,1144,65.04,78.23,22.96,52.08,6.27,12.85,18.38,7.85,19.85,14.5,16.0,6.19,2.73,16.58
2003,1145,70.25,71.14,26.39,60.14,5.93,11.54,16.36,11.5,25.25,15.64,14.32,8.14,3.39,19.36
2003,1147,72.62,77.88,25.38,56.04,4.33,17.54,22.79,11.04,18.5,12.04,16.08,8.12,3.71,20.42
2003,1148,67.54,67.11,24.43,52.82,5.36,13.32,17.82,11.5,21.89,11.46,15.46,5.79,1.64,15.54
2003,1149,64.69,66.0,24.35,55.08,3.85,12.15,16.31,10.77,21.27,12.46,14.65,9.77,3.19,19.23
2003,1150,68.45,69.9,23.83,60.14,7.97,12.83,20.24,14.66,23.28,14.52,13.72,8.48,2.03,18.34
2003,1151,79.82,75.61,27.5,57.43,7.46,17.36,22.86,12.61,23.07,16.18,16.46,7.14,3.18,18.57
2003,1152,63.2,74.97,23.53,53.23,3.8,12.33,19.97,12.03,20.73,12.1,17.43,7.2,1.67,22.03
2003,1153,67.32,61.5,22.89,56.68,6.68,14.86,21.54,12.14,23.39,12.29,10.61,5.18,4.25,18.96
2003,1154,63.08,71.38,21.79,54.42,6.17,13.33,20.08,11.0,21.67,13.08,16.33,7.46,3.04,20.12
2003,1155,68.43,68.11,24.46,55.39,4.82,14.68,22.36,13.43,22.43,12.54,13.46,7.11,2.64,19.11
2003,1156,65.63,73.2,22.9,51.33,5.9,13.93,21.13,10.43,21.0,13.53,17.23,7.07,4.43,19.47
2003,1157,67.27,69.88,23.88,54.96,5.88,13.62,18.58,13.35,22.12,12.23,16.85,6.23,1.58,21.19
2003,1158,73.34,68.66,25.31,58.03,9.07,13.66,19.93,10.9,23.93,14.45,14.07,7.34,4.38,18.93
2003,1159,65.88,67.77,24.46,56.42,6.58,10.38,15.08,10.58,21.88,13.96,14.31,6.88,1.69,19.15
2003,1160,75.52,70.06,27.19,61.32,4.97,16.16,23.94,14.48,27.97,13.39,14.0,6.13,6.65,17.71
2003,1161,74.0,72.67,26.4,52.1,4.2,17.0,24.27,10.8,23.47,15.5,16.13,5.33,4.23,20.57
2003,1162,49.63,62.07,16.93,45.41,5.04,10.74,16.0,9.44,21.63,9.7,17.07,5.19,3.44,18.26
2003,1163,80.03,71.4,29.53,62.2,6.07,14.9,22.1,14.77,27.9,15.63,15.8,5.93,7.73,18.4
2003,1164,58.04,61.64,21.07,48.21,4.43,11.46,15.68,9.25,19.43,9.21,14.86,7.32,2.07,15.71
2003,1165,59.92,67.88,21.35,50.23,6.23,11.0,17.27,9.31,22.15,12.92,15.46,7.31,2.12,18.35
2003,1166,79.24,64.33,28.7,57.45,7.97,13.88,20.03,10.88,23.18,16.82,13.36,8.39,4.45,17.27
2003,1168,62.93,66.66,22.76,51.79,4.76,12.66,19.52,12.07,19.34,11.69,13.24,5.93,1.52,18.0
2003,1169,69.86,69.93,24.32,54.39,6.07,15.14,21.46,12.43,22.21,12.75,17.11,8.54,2.0,22.79
2003,1170,65.43,72.89,22.86,55.68,5.75,13.96,20.79,10.86,22.04,12.96,16.36,8.39,2.93,21.39
2003,1171,59.23,64.42,20.46,49.54,8.15,10.15,14.42,6.77,21.35,13.54,12.42,6.08,2.38,18.58
2003,1172,76.5,74.04,26.33,58.42,9.17,14.67,18.96,11.83,28.38,16.0,18.88,5.62,1.62,20.38
2003,1173,72.79,66.31,24.48,54.21,7.52,16.31,22.79,13.48,23.17,15.21,13.31,5.38,2.93,17.59
2003,1174,68.62,68.31,24.21,59.28,6.97,13.24,18.76,11.03,24.38,14.03,13.41,7.97,3.72,19.1
2003,1175,62.22,62.59,21.93,49.7,6.59,11.78,17.15,10.63,19.33,12.15,13.7,6.67,3.37,18.26
2003,1176,70.88,69.06,24.31,59.66,7.78,14.47,19.88,12.78,24.25,14.38,13.31,7.16,1.69,19.16
2003,1177,67.04,64.21,23.36,53.11,4.43,15.89,21.86,12.32,24.61,12.86,14.54,5.75,2.11,18.18
2003,1178,70.97,65.0,26.59,55.28,4.52,13.28,18.86,10.9,22.31,13.38,11.97,6.41,2.55,19.17
2003,1179,63.75,69.5,21.75,48.43,5.46,14.79,20.21,8.25,22.39,12.79,14.39,3.89,1.61,17.18
