,TeamID,Season,FG,FGA,3P,FT,FTA,OR,DR,TO,oppFG,oppFGA,opp3P,oppFT,oppFTA,oppOR,oppDR,oppTO,Wins,Seed
0,1328,2003,25.27,56.53,7.47,13.17,18.6,12.13,24.97,11.8,21.6,53.37,4.43,12.53,18.63,10.4,22.4,13.7,3,01
1,1448,2003,26.14,57.24,6.1,20.03,26.62,14.76,26.93,15.1,23.66,59.76,7.48,12.83,18.66,12.45,19.34,13.62,1,02
2,1393,2003,29.24,62.21,5.24,16.38,23.62,14.31,26.9,13.62,25.21,64.62,6.93,12.55,18.9,15.79,22.28,14.45,6,03
3,1257,2003,27.97,60.83,8.43,17.47,25.1,13.2,25.1,13.37,22.53,55.97,5.1,18.3,26.37,12.87,23.6,17.4,1,04
4,1280,2003,26.33,55.8,5.57,11.93,17.63,12.67,24.6,15.63,21.73,54.17,6.23,10.47,15.6,10.9,20.13,16.1,0,05
5,1329,2003,24.66,55.41,4.86,14.55,22.34,12.38,24.07,14.66,21.76,55.83,5.1,13.59,20.69,14.1,22.41,16.76,1,06
6,1386,2003,24.24,54.41,8.03,14.1,20.66,11.17,24.14,12.93,20.14,54.55,5.48,13.52,20.69,13.48,21.93,15.24,0,07
7,1143,2003,27.34,58.72,6.41,13.38,19.52,11.24,24.38,14.17,25.38,58.79,7.1,11.9,17.45,11.17,23.0,14.93,1,08
8,1301,2003,24.33,53.33,7.97,15.77,20.47,9.73,22.03,14.2,23.43,53.13,5.73,15.4,21.2,10.53,21.43,14.63,0,09
9,1120,2003,25.7,54.7,5.63,13.07,19.73,11.93,22.57,15.9,23.8,56.63,6.9,11.07,16.53,12.23,20.6,15.8,2,10
10,1335,2003,24.0,51.52,9.0,13.19,18.78,9.33,24.19,13.0,20.7,51.48,6.33,11.67,17.19,9.37,21.44,14.41,0,11
11,1139,2003,24.07,50.66,8.48,11.97,16.55,7.83,20.38,10.41,23.03,51.62,4.9,9.97,15.0,10.45,20.21,12.0,2,12
12,1122,2003,23.56,52.07,6.0,16.59,24.0,10.63,24.22,15.22,24.3,56.78,6.3,12.81,18.67,11.67,22.52,14.0,0,13
13,1264,2003,25.93,57.55,5.52,18.79,23.9,11.31,23.31,14.21,23.07,55.41,4.34,17.28,23.86,12.62,23.03,17.72,0,14
14,1190,2003,28.07,61.41,5.22,18.33,24.81,14.0,24.04,18.74,27.56,62.48,7.11,15.26,20.96,13.85,22.52,18.89,0,15
15,1354,2003,24.8,54.37,5.17,18.03,25.8,12.97,24.27,19.47,24.0,57.93,7.17,16.1,24.5,14.23,21.2,17.4,0,16
16,1400,2003,28.0,62.43,5.86,17.0,23.79,16.18,26.14,13.43,24.36,59.21,6.11,13.86,21.04,12.93,22.0,14.18,4,01
17,1196,2003,26.94,56.52,8.68,13.35,18.94,10.81,24.26,13.39,24.23,57.26,5.81,10.42,16.0,11.97,21.74,15.06,1,02
18,1462,2003,26.8,59.2,6.43,18.2,24.37,13.93,25.5,13.03,25.2,61.63,6.23,9.33,14.07,12.27,21.33,14.0,1,03
19,1390,2003,25.65,58.03,6.94,14.03,20.77,13.74,25.13,14.32,23.58,57.84,5.74,14.06,19.97,11.39,21.58,13.06,1,04
20,1163,2003,29.53,62.2,6.07,14.9,22.1,14.77,27.9,15.8,24.87,65.37,6.43,15.23,21.0,15.33,21.5,13.37,2,05
21,1268,2003,29.43,63.36,6.75,15.18,21.57,13.75,26.75,14.11,22.93,60.57,6.5,14.5,20.89,14.32,23.61,18.32,2,06
22,1277,2003,23.03,51.1,4.9,16.26,22.13,10.68,24.26,14.55,20.16,50.32,5.77,14.87,20.74,9.32,20.23,14.29,3,07
23,1261,2003,26.81,55.06,6.74,12.87,19.87,10.61,24.52,13.87,22.87,56.13,6.29,10.87,16.29,11.32,21.42,15.55,0,08
24,1345,2003,23.75,54.39,5.11,19.14,25.5,10.39,23.46,13.82,22.61,54.5,5.36,14.68,20.29,10.64,23.46,16.39,1,09
25,1160,2003,27.19,61.32,4.97,16.16,23.94,14.48,27.97,14.0,25.39,63.35,6.74,12.55,18.48,13.52,23.19,12.55,0,10
26,1423,2003,26.03,56.4,6.77,12.53,18.2,9.97,23.13,11.47,20.93,52.23,5.67,12.07,18.23,11.5,23.53,16.93,0,11
27,1140,2003,24.03,51.26,6.19,18.19,24.16,10.87,24.42,13.74,20.97,51.26,5.0,16.74,23.48,10.42,20.19,14.48,0,12
28,1360,2003,25.21,53.54,6.93,17.32,26.32,11.54,26.36,18.18,26.07,60.21,6.71,12.71,18.64,11.29,21.89,15.18,0,13
29,1407,2003,28.23,65.33,9.47,13.43,19.53,15.07,24.7,13.73,25.03,60.27,8.1,12.4,18.1,13.43,24.87,17.73,0,14
30,1358,2003,24.3,53.37,6.48,16.7,23.52,10.78,25.96,15.7,22.48,57.96,5.44,14.85,21.67,13.33,22.04,14.89,0,15
31,1411,2003,24.73,55.27,5.93,17.4,28.07,13.17,24.8,15.23,25.67,60.4,7.53,11.97,18.73,11.93,22.87,14.33,0,16
32,1421,2003,24.38,56.79,6.48,15.97,20.93,12.28,23.17,16.21,27.79,60.97,7.62,15.24,22.55,13.72,22.83,12.83,1,16
33,1246,2003,28.47,58.41,5.91,14.69,20.78,12.88,24.16,14.06,23.0,55.78,5.78,12.31,18.06,11.19,19.97,16.47,3,01
34,1338,2003,26.87,53.5,6.37,14.5,22.8,11.3,25.37,15.1,20.47,53.37,5.23,12.67,18.4,10.3,19.73,16.17,2,02
35,1266,2003,27.21,56.25,5.79,18.18,23.61,13.11,24.07,13.57,23.82,58.68,6.71,13.32,19.14,12.68,18.57,12.5,4,03
36,1173,2003,24.48,54.21,7.52,16.31,22.79,13.48,23.17,13.31,23.9,56.59,5.93,12.59,17.59,12.17,19.28,11.86,0,04
37,1458,2003,25.03,53.9,6.24,14.41,19.45,10.31,22.55,10.52,22.21,51.59,5.07,9.21,12.62,8.21,21.69,13.97,2,05
38,1281,2003,26.16,59.19,7.48,11.97,18.16,13.48,25.9,13.61,24.13,59.94,5.81,12.42,18.45,13.16,23.26,13.19,1,06
39,1231,2003,23.44,54.94,7.53,16.12,22.62,11.22,25.62,11.5,24.28,58.84,4.72,13.72,19.19,12.12,24.16,10.5,1,07
40,1332,2003,28.59,62.0,9.0,16.03,20.66,11.38,24.5,15.22,25.88,60.72,5.69,16.53,23.56,13.22,23.69,16.75,0,08
41,1428,2003,23.17,50.73,7.17,13.23,18.8,10.13,23.2,12.7,20.2,48.77,4.57,15.03,21.87,10.1,20.83,12.57,1,09
42,1104,2003,24.04,57.18,6.36,14.86,20.93,13.57,23.93,13.29,23.25,55.5,6.36,12.14,17.14,10.89,22.64,13.86,0,10
43,1356,2003,27.37,57.87,6.1,13.7,19.4,10.83,22.47,12.5,23.93,53.8,6.2,14.03,20.33,11.23,22.93,15.9,0,11
44,1451,2003,24.62,52.86,6.1,18.86,25.69,10.34,22.76,12.45,24.72,54.07,6.03,11.69,16.97,10.1,21.72,15.59,0,12
45,1409,2003,26.39,57.03,6.65,14.1,19.39,11.16,25.81,14.32,23.26,58.61,5.61,13.13,19.26,12.77,22.71,14.42,1,13
46,1221,2003,24.21,52.72,5.31,15.62,22.14,12.07,24.31,13.93,20.69,50.72,5.1,11.72,17.76,8.76,19.59,15.41,0,14
47,1447,2003,27.23,57.68,7.03,14.06,19.29,12.0,22.35,14.97,26.39,57.26,6.13,12.55,17.39,10.94,21.35,15.45,0,15
48,1237,2003,24.44,53.94,6.5,15.88,22.62,11.69,20.91,15.91,25.59,53.69,6.62,12.59,18.56,10.56,21.59,16.84,0,16
49,1112,2003,30.32,65.71,7.04,17.54,25.0,15.18,27.64,14.79,26.36,64.68,6.32,11.21,17.71,13.11,23.29,16.86,3,01
50,1242,2003,30.23,62.3,4.8,16.07,24.13,14.3,26.9,14.9,24.6,60.53,6.63,10.53,15.27,11.53,22.5,17.3,5,02
51,1181,2003,27.37,60.33,7.33,19.9,28.07,13.77,23.1,14.03,25.07,57.17,4.93,15.33,21.97,12.2,22.63,17.83,2,03
52,1228,2003,27.1,55.8,7.43,13.8,19.1,9.73,25.4,13.17,20.33,54.07,5.7,15.03,21.23,11.13,21.2,14.83,1,04
53,1323,2003,27.23,60.68,8.29,17.35,22.84,11.39,26.87,12.77,26.77,64.77,6.23,11.42,16.74,13.68,24.81,13.06,2,05
54,1166,2003,28.7,57.45,7.97,13.88,20.03,10.88,23.18,13.36,23.88,55.33,4.88,11.7,16.7,11.06,21.36,17.06,0,06
55,1272,2003,26.28,60.0,7.0,14.97,22.9,14.07,25.97,13.79,23.28,57.86,5.9,13.38,20.72,12.34,23.59,15.07,0,07
56,1153,2003,22.89,56.68,6.68,14.86,21.54,12.14,23.39,10.61,21.25,53.11,5.93,13.07,19.71,11.11,24.14,13.93,0,08
57,1211,2003,26.06,55.45,7.16,17.77,24.65,11.94,25.32,14.55,23.9,56.26,7.45,12.94,18.74,10.1,21.0,14.87,1,09
58,1113,2003,27.21,56.9,4.0,17.55,26.21,13.69,23.31,14.0,24.79,55.66,5.45,14.14,20.52,11.0,20.55,15.52,1,10
59,1141,2003,26.62,52.69,6.83,19.28,25.17,10.59,23.28,18.24,26.34,57.93,4.97,15.59,21.97,12.24,18.9,16.07,1,11
60,1454,2003,27.27,57.63,7.77,14.8,21.43,11.53,23.0,14.87,23.87,54.47,6.07,16.13,23.1,11.3,22.9,17.27,0,12
61,1443,2003,25.71,55.9,7.71,13.97,21.1,12.16,23.26,15.16,24.29,55.97,4.61,13.23,19.1,11.35,21.61,15.74,0,13
62,1161,2003,26.4,52.1,4.2,17.0,24.27,10.8,23.47,16.13,25.83,57.47,5.63,15.37,22.33,12.0,19.07,12.23,0,14
63,1429,2003,23.7,51.93,4.03,14.53,20.23,12.63,22.37,12.23,22.0,50.8,5.77,10.33,14.83,9.13,19.03,12.37,0,15
64,1436,2003,24.83,55.86,5.28,12.86,19.55,12.97,25.72,14.07,22.76,55.07,7.07,10.55,15.76,9.59,21.86,13.0,0,16
65,1181,2004,27.56,58.47,7.19,17.44,23.84,13.41,22.84,14.19,23.62,58.19,4.78,12.94,18.44,14.0,20.12,17.72,4,01
66,1280,2004,27.36,58.5,6.46,15.93,24.04,14.75,26.11,15.46,24.25,59.39,6.86,10.93,16.89,12.32,21.04,16.43,1,02
67,1400,2004,27.6,62.63,6.8,15.13,22.4,16.3,25.1,11.87,22.47,56.53,5.8,15.67,21.83,11.93,22.57,14.53,2,03
68,1153,2004,27.03,59.1,7.23,15.6,23.37,13.13,24.13,12.1,20.33,52.7,6.13,16.1,22.67,11.1,22.5,17.07,1,04
69,1228,2004,26.63,57.33,6.9,12.37,17.77,12.03,22.93,12.57,22.03,53.07,5.4,13.33,19.47,11.47,21.0,14.6,2,05
70,1314,2004,29.64,64.11,6.5,17.29,25.43,15.36,24.64,15.64,26.96,60.86,7.71,13.82,20.04,12.61,23.29,18.43,1,06
71,1462,2004,24.55,55.64,7.61,13.73,20.21,11.79,23.7,12.55,22.79,54.67,5.33,11.45,16.7,10.61,22.88,14.15,3,07
72,1371,2004,26.11,56.86,5.96,14.11,19.68,11.79,25.32,13.14,23.0,57.93,5.14,13.32,18.89,12.21,22.0,13.25,1,08
73,1112,2004,31.52,65.0,7.38,17.1,21.76,13.9,25.69,14.97,28.9,65.62,8.1,12.52,17.76,13.59,21.66,15.62,0,09
74,1257,2004,24.55,58.41,7.97,16.21,21.66,11.66,26.28,13.9,21.21,56.07,5.72,12.76,20.41,12.52,24.72,17.41,0,10
75,1102,2004,20.29,42.04,8.46,11.14,15.71,6.14,15.36,10.79,18.14,40.36,3.18,10.96,15.32,9.29,18.54,16.43,0,11
76,1293,2004,29.53,59.5,6.47,15.27,21.4,12.23,25.3,13.8,25.13,58.6,6.0,13.13,18.2,10.73,21.63,14.9,0,12
77,1190,2004,28.34,61.1,5.97,15.28,22.55,12.21,25.52,16.17,25.97,62.48,6.79,11.52,16.62,13.59,24.34,19.45,0,13
78,1343,2004,22.35,46.65,6.04,11.77,16.54,8.58,22.19,13.5,19.42,47.54,4.81,13.15,18.42,8.81,18.46,12.42,0,14
79,1284,2004,22.94,54.72,7.09,15.81,21.19,9.38,24.0,13.41,23.72,56.5,7.44,12.03,17.25,11.34,25.22,15.53,0,15
80,1106,2004,20.57,48.73,5.53,14.77,22.47,11.7,22.77,17.2,21.17,51.97,5.73,12.53,20.03,11.33,20.03,15.33,0,16
81,1390,2004,26.53,54.8,5.2,15.67,20.83,11.1,25.2,13.97,21.33,54.63,6.2,11.83,17.07,10.4,19.4,14.7,1,01
82,1163,2004,30.12,62.64,6.39,12.45,20.21,15.3,29.48,13.79,23.76,64.36,5.58,10.85,16.12,13.73,21.58,12.42,6,02
83,1301,2004,24.66,54.55,8.34,15.69,19.66,10.03,23.69,13.76,23.38,55.17,5.41,13.03,18.34,11.41,21.9,14.76,1,03
84,1268,2004,28.07,63.67,5.13,16.1,25.7,15.77,25.73,15.13,24.1,59.97,7.3,16.27,22.57,13.3,25.57,17.33,1,04
85,1393,2004,27.68,59.75,4.32,13.25,20.82,13.93,24.71,12.79,23.82,59.93,5.75,13.43,20.32,15.04,22.46,13.68,2,05
86,1435,2004,25.73,57.37,7.8,14.57,20.43,11.43,24.2,12.77,22.3,54.77,7.17,12.97,18.27,10.97,23.1,15.43,2,06
87,1177,2004,25.63,54.57,5.1,14.5,20.6,12.07,23.77,13.43,23.73,56.2,7.6,12.6,18.0,11.27,19.67,12.4,1,07
88,1104,2004,24.9,55.0,7.14,15.28,21.86,11.31,24.0,13.28,23.28,55.93,7.28,13.62,19.48,11.52,22.1,13.45,3,08
89,1356,2004,26.31,59.17,5.97,12.69,18.45,13.21,22.21,12.07,21.97,51.66,4.9,14.07,20.21,11.24,23.34,17.0,0,09
90,1173,2004,23.53,52.09,6.38,14.53,21.69,12.22,25.78,14.28,23.22,56.75,6.97,10.69,16.25,10.78,20.09,10.53,0,10
91,1444,2004,27.43,59.23,7.17,17.17,23.83,14.37,23.67,13.3,23.03,53.73,6.1,13.77,20.2,10.6,21.53,16.6,0,11
92,1140,2004,25.19,51.74,5.37,16.44,22.56,9.96,23.44,14.0,23.56,52.22,5.74,12.52,18.26,8.74,19.96,14.67,0,12
93,1431,2004,25.66,54.52,6.0,18.17,24.34,10.28,24.07,13.55,24.48,58.52,6.76,11.52,16.76,12.79,21.97,15.9,0,13
94,1418,2004,27.19,58.69,8.23,13.65,19.88,11.65,21.96,14.54,26.0,58.73,6.27,11.62,17.88,13.96,22.19,17.35,0,14
95,1436,2004,23.83,55.93,6.4,12.33,18.17,11.63,24.9,12.57,23.73,55.67,6.27,8.37,13.27,9.73,23.83,13.0,0,15
96,1427,2004,24.29,56.5,7.04,16.82,23.96,12.36,25.14,17.11,25.54,60.46,7.18,14.39,20.07,13.07,23.82,15.39,0,16
97,1386,2004,27.18,56.79,9.75,13.68,19.46,9.68,23.25,11.71,22.11,56.18,4.43,12.86,18.68,13.64,23.04,16.57,3,01
98,1329,2004,28.9,56.34,4.83,15.59,22.41,11.38,24.17,13.45,22.86,55.03,5.07,13.1,20.07,11.66,19.69,15.55,4,02
99,1338,2004,25.72,53.44,4.19,13.25,20.31,12.91,23.72,12.44,21.41,55.62,5.09,8.19,12.91,12.84,18.59,12.78,2,03
100,1448,2004,28.5,60.43,7.64,19.18,26.89,14.04,23.5,15.04,25.93,58.32,7.36,16.43,23.36,12.43,21.96,17.61,2,04
101,1196,2004,26.93,55.8,8.2,14.9,19.8,10.23,24.93,14.67,24.0,57.9,6.87,14.27,21.37,12.9,21.1,13.57,0,05
102,1458,2004,23.73,52.93,5.8,15.37,21.43,11.27,21.7,9.93,20.83,49.37,4.5,10.5,15.03,9.07,20.9,14.3,1,06
103,1272,2004,24.75,58.64,8.71,15.36,23.21,13.46,25.14,12.93,22.21,55.43,6.93,14.57,20.68,10.93,24.04,15.07,1,07
104,1403,2004,27.12,58.44,3.69,15.47,20.97,11.31,22.69,12.47,24.44,56.81,6.06,11.5,17.44,12.69,23.09,17.19,1,08
105,1150,2004,27.14,60.24,7.79,17.28,26.79,14.76,26.17,15.31,25.1,60.59,6.83,14.41,19.97,12.28,23.86,15.66,0,09
106,1376,2004,25.18,57.76,6.79,13.76,20.42,12.7,23.64,13.21,22.09,56.0,5.82,12.76,18.7,13.64,23.36,16.58,0,10
107,1350,2004,22.25,54.34,5.66,14.38,19.84,11.97,23.5,13.06,20.59,52.28,4.97,12.84,20.31,12.22,23.31,15.06,0,11
108,1264,2004,24.38,55.21,5.76,19.83,26.1,12.17,22.69,13.0,21.76,52.76,4.66,15.28,21.97,11.72,22.0,16.93,1,12
109,1433,2004,26.07,55.0,6.57,12.1,20.03,12.33,25.4,16.43,23.0,57.3,5.57,12.0,17.7,11.6,21.3,14.4,0,13
110,1416,2004,25.52,55.72,7.45,12.03,16.66,12.38,23.9,15.14,21.59,53.52,6.28,12.76,18.86,11.34,20.52,15.66,0,14
111,1186,2004,24.75,51.89,6.18,14.57,20.71,9.14,21.18,15.21,24.25,51.96,5.46,14.39,21.0,9.79,21.32,15.71,0,15
112,1251,2004,24.71,57.84,6.03,13.29,19.45,13.23,24.16,15.81,24.65,57.48,5.32,12.39,19.68,12.32,22.87,15.35,0,16
113,1246,2004,26.67,56.83,6.2,13.6,19.53,11.8,24.03,14.5,21.47,53.83,6.17,13.7,18.9,10.37,21.03,16.0,1,01
114,1211,2004,29.03,56.38,6.52,17.76,23.48,11.55,27.93,13.55,23.34,60.79,7.45,11.79,17.1,12.1,19.0,13.0,1,02
115,1210,2004,27.44,58.38,7.25,15.94,23.0,11.38,26.09,15.47,22.75,58.91,5.72,16.06,24.28,14.06,23.25,17.28,5,03
116,1242,2004,26.93,58.14,5.75,15.25,21.57,12.07,26.5,14.43,23.54,59.46,6.21,14.89,21.32,13.43,22.82,14.29,3,04
117,1344,2004,24.79,54.68,7.93,14.0,19.54,11.68,21.89,14.93,23.75,56.43,5.86,10.96,16.5,12.61,20.54,15.14,0,05
118,1130,2004,24.25,53.47,3.75,16.5,24.31,12.81,23.72,13.38,23.25,57.56,5.94,11.31,16.12,13.22,20.22,14.03,1,06
119,1277,2004,25.0,50.48,6.38,15.07,19.59,9.1,21.38,14.62,23.07,50.48,5.93,15.28,22.38,10.03,18.66,13.97,0,07
120,1449,2004,28.5,61.57,6.5,17.93,25.13,12.4,23.0,15.2,27.93,60.1,5.9,16.47,23.37,12.23,23.5,17.13,0,08
121,1412,2004,27.55,62.17,6.48,12.97,19.83,12.34,22.69,13.62,22.93,54.38,5.34,15.79,23.72,13.52,26.28,20.62,2,09
122,1305,2004,26.77,58.77,4.87,17.1,23.93,13.4,25.47,13.0,23.83,57.23,4.83,13.67,19.33,10.77,22.4,14.27,2,10
123,1428,2004,23.32,49.29,5.97,12.29,17.23,10.65,24.0,14.23,20.94,50.65,4.06,11.68,17.52,9.26,18.13,10.81,0,11
124,1334,2004,23.2,49.5,5.9,16.87,22.87,9.27,24.27,14.1,22.9,56.93,6.17,11.83,16.53,12.07,20.63,12.6,1,12
125,1227,2004,25.48,55.9,5.0,14.03,22.13,13.29,22.16,12.58,22.55,52.29,6.26,11.16,17.13,10.87,21.03,16.26,0,13
126,1320,2004,23.31,53.07,7.07,15.52,21.1,8.93,25.9,12.66,23.69,56.52,5.07,12.79,18.41,10.24,24.21,11.45,0,14
127,1434,2004,24.76,55.76,5.28,17.48,24.59,11.9,26.52,16.17,24.52,58.83,5.62,16.79,25.62,12.24,23.41,13.24,0,15
128,1197,2004,23.07,55.77,8.47,17.5,24.53,11.43,22.53,16.93,24.97,55.4,7.07,16.97,25.4,12.63,24.8,18.6,1,16
129,1250,2004,22.75,53.96,6.14,14.21,19.82,11.18,24.43,14.64,22.46,54.36,5.61,13.14,19.71,11.11,23.32,13.89,0,16
130,1449,2005,31.52,65.1,7.45,15.74,21.48,15.06,22.45,14.61,25.87,57.52,5.58,16.1,22.97,12.16,21.06,18.23,2,01
